Откуда,Куда,Время отправления,Время прибытия,Время в дороге,Маршрут,Взрослый,Детский
Советская,Красный Сулин,9:20,22:10,770,1,1500,750
Советская,Зверево,9:20,22:15,775,1,1500,750
Советская,Гуково,9:20,22:15,775,1,1500,750
Советская,Каменск-Шахтинский,9:20,22:30,790,1,1500,750
Советская,Лихой,9:20,22:45,805,1,1500,750
Советская,Тарасовский,9:20,23:00,820,1,1500,750
Советская,Глубокий,9:20,23:20,840,1,1500,750
Советская,Миллерово,9:20,0:05,885,1,1500,750
Советская,Алексеево-Лозовское,9:20,0:20,900,1,1500,750
Советская,Нагибин,9:20,1:20,960,1,1500,750
Советская,Богучар,9:20,1:40,980,1,1500,750
Советская,Верхний Мамон,9:20,2:00,1000,1,1500,750
Советская,Павловск,9:20,2:30,1030,1,1560,780
Советская,Лосево,9:20,2:40,1040,1,1560,780
Советская,Бобров,9:20,2:45,1045,1,1560,780
Советская,Лиски,9:20,2:50,1050,1,1560,780
Советская,Каширское,9:20,2:55,1055,1,1560,780
Советская,Воронеж,9:20,3:00,1060,1,1560,780
Советская,Рамонь,9:20,3:20,1080,1,1560,780
Советская,Хлевное,9:20,3:50,1110,1,1560,780
Советская,Задонск,9:20,4:20,1140,1,1560,780
Советская,Елец,9:20,6:30,1270,1,1560,780
Советская,Ефремов,9:20,7:30,1330,1,1560,780
Советская,Богородицк,9:20,8:20,1380,1,1560,780
Советская,Тула,9:20,8:45,1405,1,1745,873
Советская,Москва,9:20,13:30,1690,1,2700,1350
Левокумское,Михайловск,9:40,15:30,350,1,1500,750
Левокумское,Донское,9:40,16:00,380,1,1500,750
Левокумское,Безопасное,9:40,16:20,400,1,1500,750
Левокумское,Красногвардейское,9:40,17:10,450,1,1500,750
Левокумское,Песчанокопское,9:40,18:10,510,1,1500,750
Левокумское,Егорлыкская,9:40,19:00,560,1,1500,750
Левокумское,Мечетинская,9:40,19:20,580,1,1500,750
Левокумское,Зерноград,9:40,19:30,590,1,1500,750
Левокумское,Экспериментальный,9:40,19:30,590,1,1500,750
Левокумское,Кагальницкая,9:40,19:50,610,1,1500,750
